login,password,nombreCompleto,tipo
pedroperez1,AbCde12345,Pedro Pérez Gutiérrez,AdministradorGeneral
lauragonzalez2,DeFgH67890,Laura González Martínez,AdministradorLocal
juanrodriguez3,GhIjK23456,Juan Rodríguez López,AdministradorLocal
mariasilva4,KlMnO34567,Maria Silva Díaz,AdministradorLocal
carloshernandez5,OpQrS45678,Carlos Hernández Sánchez,Empleado
andreacastro6,RsTuV78901,Andrea Castro González,Empleado
pablolopez7,TwXyZ10987,Pablo López García,Empleado
susanamartinez8,YzAbC21098,Susana Martínez Ramírez,Empleado
diegoramirez9,CdEfG32109,Diego Ramírez Flores,Empleado
nataliajimenez10,EgHiJ43210,Natalia Jiménez Martínez,Empleado
davidtorres11,FjKlM54321,David Torres Soto,Empleado
anarodriguez12,GmNoP65432,Ana Rodríguez Pérez,Empleado
eduardoortega13,HpQrS76543,Eduardo Ortega González,Empleado
isabelmartin14,IqRsT87654,Isabel Martín Gómez,Empleado
sergiogomez15,JuKlV98765,Sergio Gómez Sánchez,Empleado
mariagarcia16,LwMnX09876,Maria García Fernández,Empleado
carolinaperez17,MxYoZ10987,Carolina Pérez López,Empleado
alejandromartinez18,NzAbC21098,Alejandro Martínez Díaz,Empleado
danielrodriguez19,PaRbE32109,Daniel Rodríguez González,Empleado
andreamendez20,ScTdF43210,Andrea Méndez Pérez,Cliente
juliosanchez21,UeWgH54321,Julio Sánchez Martínez,Cliente
micaelacastro22,VfXiJ65432,Micaela Castro Ramírez,Cliente
pabloruiz23,WgYkL76543,Pablo Ruiz Gutiérrez,Cliente
valeriadiaz24,XhZlM87654,Valeria Díaz Sánchez,Cliente
franciscorobles25,YiAnN98765,Francisco Robles González,Cliente
cristinasoto26,ZjBoP09876,Cristina Soto Martínez,Cliente
lucianagonzalez27,kPbCQ10987,Luciana González Pérez,Cliente
sergioherrera28,LrDsE21098,Sergio Herrera López,Cliente
manuelsanchez29,ftgyR32109,Manuel Sánchez Martínez,Cliente
raquelrodriguez30,GpOaQ43210,Raquel Rodríguez Díaz,Cliente
mariojimenez31,bTsVl54321,Mario Jiménez González,Cliente
marcelaaraya32,hkYuI65432,Marcela Araya Pérez,Cliente
marcosgonzalez33,bsfSe76543,Marcos González Sánchez,Cliente
robertocastro34,mhRjU87654,Roberto Castro Martínez,Cliente
andreaalvarez35,kkIaB98765,Andrea Álvarez Díaz,Cliente
carmensalazar36,llJkF09876,Carmen Salazar Martínez,Cliente
sergiosoto37,aaWsO10987,Sergio Soto Pérez,Cliente
rodrigolopez38,faSiP21098,Rodrigo López González,Cliente
anafernandez39,ooKdH32109,Ana Fernández Martínez,Cliente
juancarlosmendez40,bbJyR43210,Juan Carlos Méndez Díaz,Cliente
marianavasquez41,plOaB54321,Mariana Vásquez González,Cliente
paulamartinez42,mrPgI65432,Paula Martínez Sánchez,Cliente
javiergarcia43,vkLgO76543,Javier García Martínez,Cliente
luisfernandorodriguez44,mfHoP87654,Luis Fernando Rodríguez Pérez,Cliente
claudiatorres45,bkKmB98765,Claudia Torres Díaz,Cliente
cristianrojas46,lqLnC09876,Cristian Rojas Martínez,Cliente
andresreyes47,ssSaO10987,Andrés Reyes González,Cliente
nataliafuentes48,ktIrP21098,Natalia Fuentes Pérez,Cliente
1,1,1,AdministradorGeneral
2,2,2,AdministradorLocal
3,3,3,Cliente
4,4,4,Empleado
tbonnett,tbonnett,Thomas,Cliente
